Date,Close,Volumen
10/09/2012,2.09,4834
11/09/2012,2.09,3871
12/09/2012,2.09,4834
13/09/2012,2.15,5022
14/09/2012,2.15,31311
17/09/2012,2.15,4770
18/09/2012,2.1,2000
19/09/2012,2.03,10318
20/09/2012,2.03,3228
21/09/2012,2.05,7419
24/09/2012,2.05,15407
25/09/2012,2.05,2510
26/09/2012,2,12573
27/09/2012,2.01,25061
28/09/2012,2.05,7028
03/10/2012,2,17000
04/10/2012,1.96,6258
05/10/2012,1.96,3347
10/10/2012,1.96,15204
11/10/2012,2,3149
12/10/2012,2.04,12540
15/10/2012,2,4436
16/10/2012,2.05,25920
17/10/2012,2.1,20604
18/10/2012,2.14,26794
19/10/2012,2.14,2668
22/10/2012,2.16,13437
23/10/2012,2.1,14951
24/10/2012,2.1,4887
25/10/2012,2.05,4047
26/10/2012,2.1,24916
29/10/2012,2.1,5264
30/10/2012,2.15,3041
31/10/2012,2.15,2300
02/11/2012,2.1,2123
05/11/2012,2.13,9145
06/11/2012,2.1,57156
07/11/2012,2.1,2500
08/11/2012,2.1,11738
09/11/2012,2.08,10659
12/11/2012,2.08,3675
13/11/2012,2.08,5700
14/11/2012,2.08,54208
15/11/2012,2.05,5000
16/11/2012,2.07,6378
19/11/2012,2.1,25980
20/11/2012,2.1,9796
21/11/2012,2.09,7904
22/11/2012,2.05,8823
23/11/2012,2.05,6875
26/11/2012,2.05,6296
27/11/2012,2.05,13050
28/11/2012,2.05,38500
29/11/2012,2.05,7500
30/11/2012,2.04,11103
03/12/2012,2.1,20118
04/12/2012,2.15,209552
05/12/2012,2.15,7500
06/12/2012,2.1,29265
07/12/2012,2.1,5995
10/12/2012,2.05,11000
11/12/2012,2.05,13326
12/12/2012,2.1,10813
13/12/2012,2.1,3571
14/12/2012,2.09,12172
17/12/2012,2.09,5000
18/12/2012,2.3,1679673308
19/12/2012,2.25,2557
20/12/2012,2.3,28395
21/12/2012,2.3,10326
24/12/2012,2.33,9000
26/12/2012,2.33,3664
27/12/2012,2.34,23508
28/12/2012,2.4,67501
31/12/2012,2.45,10900
02/01/2013,2.47,4000
03/01/2013,2.4,15000
04/01/2013,2.3,6333
07/01/2013,2.26,24578
08/01/2013,2.47,48302
09/01/2013,2.37,18597
10/01/2013,2.38,2000
11/01/2013,2.35,7459
14/01/2013,2.35,9300
15/01/2013,2.35,30634
16/01/2013,2.38,9937
17/01/2013,2.45,4400
18/01/2013,2.52,19767
21/01/2013,2.55,37395
22/01/2013,2.69,32531
23/01/2013,2.75,19681
24/01/2013,2.8,10795
25/01/2013,2.7,15663
28/01/2013,2.7,17388
29/01/2013,2.7,7014
30/01/2013,2.69,13200
31/01/2013,2.7,33023
01/02/2013,2.81,23935
04/02/2013,2.79,4788
05/02/2013,2.79,8908
06/02/2013,2.79,18688
07/02/2013,2.79,2712
08/02/2013,2.69,17000
11/02/2013,2.69,5000
12/02/2013,2.66,9266
13/02/2013,2.64,4500
14/02/2013,2.66,5000
15/02/2013,2.7,26795
18/02/2013,2.7,5905
19/02/2013,2.7,1520
20/02/2013,2.6,40696
21/02/2013,2.6,4344
22/02/2013,2.59,3000
25/02/2013,2.5,5222
26/02/2013,2.5,5789
27/02/2013,2.5,3500
28/02/2013,2.5,4351
01/03/2013,2.4,7685
04/03/2013,2.4,4362
05/03/2013,2.45,9225
06/03/2013,2.45,5078
07/03/2013,2.4,26100
08/03/2013,2.35,11998
11/03/2013,2.3,8262
12/03/2013,2.2,88977
13/03/2013,2.2,8500
14/03/2013,2.2,5000
15/03/2013,2.3,7521
18/03/2013,2.3,3000
19/03/2013,2.3,3000
20/03/2013,2.3,2000
21/03/2013,2.3,5482
22/03/2013,2.3,12116
25/03/2013,2.3,2000
26/03/2013,2.3,2700
27/03/2013,2.3,5000
01/04/2013,2.34,22429
02/04/2013,2.34,4335
03/04/2013,2.45,19076
04/04/2013,2.41,18474
05/04/2013,2.45,7526
08/04/2013,2.4,18000
09/04/2013,2.4,13831
10/04/2013,2.4,2672
11/04/2013,2.4,6450
12/04/2013,2.4,7183
15/04/2013,2.4,3000
16/04/2013,2.35,4222
17/04/2013,2.35,2000
18/04/2013,2.35,2430
19/04/2013,2.34,2000
22/04/2013,2.32,5060
23/04/2013,2.28,3500
24/04/2013,2.23,3000
25/04/2013,2.17,44168
26/04/2013,2.09,26466
29/04/2013,2.06,14436
30/04/2013,2.03,7742
02/05/2013,2,20750
03/05/2013,2,70455
06/05/2013,2,5000
07/05/2013,2,50235
08/05/2013,2.05,13440
09/05/2013,2.1,13301
10/05/2013,2.15,7838
13/05/2013,2.3,8580
14/05/2013,2.3,3700
15/05/2013,2.3,4000
16/05/2013,2.3,6298
17/05/2013,2.3,5000
20/05/2013,2.29,5800
21/05/2013,2.29,5844
22/05/2013,2.29,8155
23/05/2013,2.29,3825
24/05/2013,2.28,10873
27/05/2013,2.23,3499
28/05/2013,2.23,5182
29/05/2013,2.13,9183
30/05/2013,2.1,8880
31/05/2013,2.1,6294
03/06/2013,2.02,10587
04/06/2013,2.1,7984
05/06/2013,2.1,5000
06/06/2013,2.05,6819
07/06/2013,2.03,18836
10/06/2013,2.03,3836
11/06/2013,2.03,4937
12/06/2013,2.03,3362
13/06/2013,2.1,19086
14/06/2013,2.2,31088
17/06/2013,2.2,3391
18/06/2013,2.2,7874
19/06/2013,2.2,13396
20/06/2013,2.15,3000
21/06/2013,2.15,5234
24/06/2013,2.15,3500
25/06/2013,2.15,3425
26/06/2013,2.15,16710
27/06/2013,2.15,15216
28/06/2013,2.2,3000
01/07/2013,2.2,7304
02/07/2013,2.2,3961
03/07/2013,2.15,18788
04/07/2013,2.15,12067
05/07/2013,2.15,2045
08/07/2013,2.15,2543
09/07/2013,2.14,6830
10/07/2013,2.14,10115
11/07/2013,2.15,21955
12/07/2013,2.15,160317
15/07/2013,2.15,3798
16/07/2013,2.15,8907
17/07/2013,2.15,12055
18/07/2013,2.2,26507
19/07/2013,2.2,38957
22/07/2013,2.2,18939
23/07/2013,2.15,6767
24/07/2013,2.2,58147
25/07/2013,2.25,10909
26/07/2013,2.4,36870
30/07/2013,2.4,5000
31/07/2013,2.4,29596
01/08/2013,2.4,17954
02/08/2013,2.45,111072
05/08/2013,2.45,13412
06/08/2013,2.65,58563
07/08/2013,2.7,11846
08/08/2013,2.65,5088
09/08/2013,2.6,12671
12/08/2013,2.7,12822
13/08/2013,2.75,18266
14/08/2013,2.75,2805
15/08/2013,2.75,18933
16/08/2013,2.7,45760
19/08/2013,2.7,68720
20/08/2013,2.75,35731
21/08/2013,2.8,20415
22/08/2013,2.85,12000
23/08/2013,2.9,9317
26/08/2013,2.86,13830
27/08/2013,2.85,2000
28/08/2013,2.8,3776
29/08/2013,2.7,11000
02/09/2013,2.7,14593
03/09/2013,2.8,14762
04/09/2013,2.83,2200
05/09/2013,2.83,3000
06/09/2013,2.83,3000
09/09/2013,2.83,3000
10/09/2013,2.82,9361
11/09/2013,2.82,5937
12/09/2013,2.82,3000
13/09/2013,2.82,6807
16/09/2013,2.82,3500
17/09/2013,2.82,4500
18/09/2013,2.77,6500
19/09/2013,2.77,3700
20/09/2013,2.77,6435
23/09/2013,2.77,5136
24/09/2013,2.77,4786
25/09/2013,2.69,65000
26/09/2013,2.69,23500
27/09/2013,2.69,83706
30/09/2013,2.69,5719
01/10/2013,2.69,4159
02/10/2013,2.69,3467
03/10/2013,2.69,4357
04/10/2013,2.68,96468
07/10/2013,2.69,3967
09/10/2013,2.73,5013
10/10/2013,2.61,36204
11/10/2013,2.7,6239
14/10/2013,2.7,3000
15/10/2013,2.73,4700
16/10/2013,2.73,3500
17/10/2013,2.73,3500
18/10/2013,2.73,8700
21/10/2013,2.8,28516
22/10/2013,2.8,21319
23/10/2013,2.9,32998
24/10/2013,2.95,38775
25/10/2013,3,3253
28/10/2013,3,1920
29/10/2013,3,2087
30/10/2013,2.98,5895
31/10/2013,2.94,21947
04/11/2013,2.98,16020
05/11/2013,2.97,15158
06/11/2013,2.98,155319
07/11/2013,2.95,72180
08/11/2013,2.9,53051
11/11/2013,2.9,40773
12/11/2013,2.9,2692
13/11/2013,2.9,54200
14/11/2013,2.9,10817
15/11/2013,2.85,15500
18/11/2013,2.85,59590
19/11/2013,2.85,11840
20/11/2013,2.8,5898
21/11/2013,2.8,8500
22/11/2013,2.8,5531
25/11/2013,2.8,8071
26/11/2013,2.75,19683
27/11/2013,2.7,15380
28/11/2013,2.75,6096
29/11/2013,2.8,21543
02/12/2013,2.8,3000
03/12/2013,2.78,2146
04/12/2013,2.76,1668
05/12/2013,2.76,3500
06/12/2013,2.77,7386
09/12/2013,2.76,8906
10/12/2013,2.76,8316
11/12/2013,2.76,3585
12/12/2013,2.76,3335
13/12/2013,2.74,3000
16/12/2013,2.74,3500
17/12/2013,2.74,5900
18/12/2013,2.74,14084
19/12/2013,2.8,12082
20/12/2013,2.79,25348
23/12/2013,2.8,20809
24/12/2013,2.9,6627
26/12/2013,2.9,2700
27/12/2013,2.9,2902
30/12/2013,2.9,5758
31/12/2013,2.9,6239
02/01/2014,2.9,2800
03/01/2014,2.99,8370
06/01/2014,2.97,1502
07/01/2014,2.97,4285
08/01/2014,2.97,4619
09/01/2014,2.92,10798
10/01/2014,2.92,3285
13/01/2014,2.92,1432
14/01/2014,2.92,3600
15/01/2014,2.89,61457
16/01/2014,2.85,58500
17/01/2014,2.8,59910
20/01/2014,2.8,2500
21/01/2014,2.8,5049
22/01/2014,2.8,3321
23/01/2014,2.8,5083
24/01/2014,2.8,2415
27/01/2014,2.81,1950
28/01/2014,2.85,4500
29/01/2014,2.8,6467
30/01/2014,2.76,20000
31/01/2014,2.76,6317
03/02/2014,2.76,3158
04/02/2014,2.75,8313
05/02/2014,2.75,1703
06/02/2014,2.79,3500
07/02/2014,2.78,8000
10/02/2014,2.79,8517
11/02/2014,2.73,6120
12/02/2014,2.7,3000
13/02/2014,2.7,2583
14/02/2014,2.7,3605
17/02/2014,2.7,3674
18/02/2014,2.7,3540
19/02/2014,2.7,1444
20/02/2014,2.7,4044
21/02/2014,2.7,3000
24/02/2014,2.7,2700
25/02/2014,2.68,27654
26/02/2014,2.68,3000
27/02/2014,2.68,4096
28/02/2014,2.67,7525
03/03/2014,2.67,3012
04/03/2014,2.68,3500
05/03/2014,2.67,13518
06/03/2014,2.67,3375
07/03/2014,2.67,3500
10/03/2014,2.67,1562
11/03/2014,2.67,3265
12/03/2014,2.67,5968
13/03/2014,2.65,5600
14/03/2014,2.63,2300
17/03/2014,2.63,2716
18/03/2014,2.65,8927
19/03/2014,2.65,2600
20/03/2014,2.63,1550
21/03/2014,2.63,2500
24/03/2014,2.59,5500
25/03/2014,2.57,2500
26/03/2014,2.57,1840
27/03/2014,2.53,5000
28/03/2014,2.53,24873
31/03/2014,2.53,5888
01/04/2014,2.53,31070
02/04/2014,2.53,4143
03/04/2014,2.53,7024
04/04/2014,2.52,20021
07/04/2014,2.55,15481
08/04/2014,2.55,2901
09/04/2014,2.54,2500
10/04/2014,2.56,11032
11/04/2014,2.56,17895
14/04/2014,2.56,5184
15/04/2014,2.56,4989
16/04/2014,2.56,2047
21/04/2014,2.58,7326
22/04/2014,2.57,14698
23/04/2014,2.6,3578
24/04/2014,2.65,7471
25/04/2014,2.65,3346
28/04/2014,2.67,22110
29/04/2014,2.67,1637
30/04/2014,2.64,10211
02/05/2014,2.64,9626
05/05/2014,2.64,1675
06/05/2014,2.64,3221
07/05/2014,2.64,2500
08/05/2014,2.67,7062
09/05/2014,2.67,2700
12/05/2014,2.67,5300
13/05/2014,2.6,19736
14/05/2014,2.6,14238
15/05/2014,2.6,7949
16/05/2014,2.6,6750
19/05/2014,2.5,41747
20/05/2014,2.6,17372
21/05/2014,2.49,20614
22/05/2014,2.55,5347
23/05/2014,2.67,131943
26/05/2014,2.78,9518
27/05/2014,2.85,10800
28/05/2014,2.79,1750
29/05/2014,2.75,100000
30/05/2014,2.67,2732
02/06/2014,2.64,2500
03/06/2014,2.67,20593
04/06/2014,2.67,3102
05/06/2014,2.7,9095
06/06/2014,2.66,1737
09/06/2014,2.65,11895
10/06/2014,2.65,1581
11/06/2014,2.65,15043
12/06/2014,2.61,26097
13/06/2014,2.65,15659
16/06/2014,2.7,4791
17/06/2014,2.7,5408
18/06/2014,2.59,134772
19/06/2014,2.65,7017
20/06/2014,2.65,5000
23/06/2014,2.65,10000
24/06/2014,2.65,2000
25/06/2014,2.64,2000
26/06/2014,2.63,1500
27/06/2014,2.61,9257
30/06/2014,2.59,12631
01/07/2014,2.55,2800
02/07/2014,2.54,32193
03/07/2014,2.5,8055
04/07/2014,2.6,8918
07/07/2014,2.55,16780
08/07/2014,2.6,3202
09/07/2014,2.55,22133
10/07/2014,2.6,2440
11/07/2014,2.86,106741
14/07/2014,2.86,3450
15/07/2014,2.83,8000
16/07/2014,2.8,6588
17/07/2014,2.7,5990
18/07/2014,2.7,104818
21/07/2014,2.7,20786
22/07/2014,2.8,36933
23/07/2014,2.75,11468
24/07/2014,2.8,8526
25/07/2014,2.8,5500
30/07/2014,2.79,49713
31/07/2014,2.74,63615
01/08/2014,2.85,27819
04/08/2014,2.85,19045
05/08/2014,2.8,26410
06/08/2014,2.8,3768
07/08/2014,2.78,6145
08/08/2014,2.78,1938
11/08/2014,2.78,12372
12/08/2014,2.85,10415
13/08/2014,2.8,7000
14/08/2014,2.8,3000
15/08/2014,2.8,4951
18/08/2014,2.8,4500
19/08/2014,2.8,2320
20/08/2014,2.8,3583
21/08/2014,2.85,13955
22/08/2014,2.85,17705
25/08/2014,2.9,3941
26/08/2014,2.9,14000
27/08/2014,2.85,15897
28/08/2014,2.85,3000
29/08/2014,2.85,2787
01/09/2014,2.85,2943
02/09/2014,2.8,4757
03/09/2014,2.79,61806
04/09/2014,2.73,25852
